variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,conditionSamplingMode,problem,run,target_FE,actual_FE,gen,Train_AF_count,Train_AI_count,Constrained_population_count,Unconstrained_population_count,GAN_generated_count,standard_outside_constrained,standard_outside_unconstrained,standard_outside_archive_AF,standard_outside_archive_AI,standard_outside_GAN,standard_visible_constrained,standard_visible_unconstrained,standard_visible_archive_AF,standard_visible_archive_AI,standard_visible_GAN,snapshot_file,figure_file
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,10000,10080,49,114,114,100,100,20,0,52,0,0,0,100,48,114,114,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE010000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,20000,20180,98,221,221,100,100,20,0,100,0,35,0,100,0,221,186,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE020000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,30000,30080,147,308,308,100,100,20,0,100,0,39,1,100,0,308,269,19,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE030000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,40000,40180,196,329,329,100,100,20,0,100,0,41,1,100,0,329,288,19,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE040000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,50000,50080,245,363,363,100,100,20,0,100,0,41,4,100,0,363,322,16,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE050000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,60000,60180,294,363,363,100,100,20,0,100,0,41,2,100,0,363,322,18,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE060000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,70000,70080,343,385,385,100,100,20,0,100,0,35,2,100,0,385,350,18,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE070000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,80000,80180,392,371,371,100,100,20,0,100,0,23,1,100,0,371,348,19,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE080000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,90000,90080,441,372,372,100,100,20,0,100,0,25,0,100,0,372,347,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE090000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP2_BC,1,100000,100180,491,383,383,100,100,20,0,100,0,19,4,100,0,383,364,16,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP2_BC/A1_pair_cd_DASCMOP2_BC_run1_FE100000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,10000,10000,49,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE010000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,20000,20000,99,0,0,100,100,0,98,98,0,0,0,2,2,0,0,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE020000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,30000,30020,149,4,4,100,100,20,1,1,0,0,20,99,99,4,4,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE030000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,40000,40120,198,78,78,100,100,20,0,0,0,0,20,100,100,78,78,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE040000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,50000,50020,247,66,66,100,100,20,0,0,0,0,20,100,100,66,66,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE050000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,60000,60120,296,96,96,100,100,20,0,9,0,0,20,100,91,96,96,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE060000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,70000,70020,345,107,107,100,100,20,0,13,0,0,20,100,87,107,107,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE070000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,80000,80120,394,106,106,100,100,20,0,25,0,0,20,100,75,106,106,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE080000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,90000,90020,443,99,99,100,100,20,0,17,0,0,12,100,83,99,99,8,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE090000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP4_BC,1,100000,100120,493,110,110,100,100,20,0,26,0,0,17,100,74,110,110,3,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP4_BC_run1/DASCMOP4_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP4_BC/A1_pair_cd_DASCMOP4_BC_run1_FE100000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP5_BC,1,10000,10000,49,0,0,100,100,0,98,98,0,0,0,2,2,0,0,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/DASCMOP5_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP5_BC/A1_pair_cd_DASCMOP5_BC_run1_FE010000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP5_BC,1,20000,20040,99,45,45,100,100,20,0,0,0,0,20,100,100,45,45,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/DASCMOP5_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP5_BC/A1_pair_cd_DASCMOP5_BC_run1_FE020000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP5_BC,1,30000,30140,149,93,93,100,100,20,0,0,0,0,20,100,100,93,93,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/DASCMOP5_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP5_BC/A1_pair_cd_DASCMOP5_BC_run1_FE030000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP5_BC,1,40000,40040,197,91,91,100,100,20,0,0,0,0,20,100,100,91,91,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/DASCMOP5_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP5_BC/A1_pair_cd_DASCMOP5_BC_run1_FE040000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP5_BC,1,50000,50140,247,77,77,100,100,20,0,0,0,0,20,100,100,77,77,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP5_BC_run1/DASCMOP5_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP5_BC/A1_pair_cd_DASCMOP5_BC_run1_FE050000_AF_GAN_objective.png
